com.samsung.shealth.tracker.pedometer_day_summary,6233003,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
1928,21c451e3-3fad-4e77-8a6b-44af5bf072fb.binning_data.json,1139815,6000,17,2023-02-11 06:00:02.856,com.sec.android.app.shealth,2023-02-10 06:00:02.493,,1.2669506,1444.09,99.299995,1911,iRIQdWw88T,com.sec.android.app.shealth,0,21c451e3-3fad-4e77-8a6b-44af5bf072fb.achievement.json,21c451e3-3fad-4e77-8a6b-44af5bf072fb,1675900800000,
104,4e475f8d-f3cc-4e68-acfe-aa8b1a6c053b.binning_data.json,66154,6000,0,2023-02-09 06:00:01.080,com.sec.android.app.shealth,2023-02-09 06:00:01.080,,1.1492854,76.03,3.34,104,aZEautf6/t,com.sec.android.app.shealth,0,4e475f8d-f3cc-4e68-acfe-aa8b1a6c053b.achievement.json,4e475f8d-f3cc-4e68-acfe-aa8b1a6c053b,1675814400000,
5196,fecee7c7-536a-4230-9e62-10ea23ed9ba4.binning_data.json,3311128,6000,0,2023-02-12 06:00:02.133,com.sec.android.app.shealth,2023-02-12 06:00:02.133,,1.1670372,3864.21,258.19,5196,aZEautf6/t,com.sec.android.app.shealth,0,fecee7c7-536a-4230-9e62-10ea23ed9ba4.achievement.json,fecee7c7-536a-4230-9e62-10ea23ed9ba4,1676073600000,
1322,473d2122-9a62-4891-9deb-a24730607013.binning_data.json,780024,6000,38,2023-02-05 15:24:11.511,com.sec.android.app.shealth,2023-02-04 07:15:54.641,473d2122-9a62-4891-9deb-a24730607013.source_info.json,1.2754099,994.85114,58.629852,1284,VfS0qUERdZ,com.sec.android.app.shealth,0,473d2122-9a62-4891-9deb-a24730607013.achievement.json,473d2122-9a62-4891-9deb-a24730607013,1675468800000,
4364,6a1969d7-8063-479a-bb2f-af40f7079423.binning_data.json,2610806,6000,5,2023-02-13 06:00:03.376,com.sec.android.app.shealth,2023-02-12 06:00:03.305,,1.245929,3252.88,218.05,4359,iRIQdWw88T,com.sec.android.app.shealth,0,6a1969d7-8063-479a-bb2f-af40f7079423.achievement.json,6a1969d7-8063-479a-bb2f-af40f7079423,1676073600000,
815,43f2ed90-0e70-4431-875a-b34fc4df92a3.binning_data.json,496151,6000,1,2023-02-12 06:00:03.271,com.sec.android.app.shealth,2023-02-11 06:00:02.874,,1.2156373,603.13983,40.140022,814,iRIQdWw88T,com.sec.android.app.shealth,0,43f2ed90-0e70-4431-875a-b34fc4df92a3.achievement.json,43f2ed90-0e70-4431-875a-b34fc4df92a3,1675987200000,
546,2e967da3-9309-46f4-814a-f394018bb6d3.binning_data.json,332249,6000,0,2023-02-11 06:00:01.905,com.sec.android.app.shealth,2023-02-11 06:00:01.905,,1.2220321,406.02,17.23,546,aZEautf6/t,com.sec.android.app.shealth,0,2e967da3-9309-46f4-814a-f394018bb6d3.achievement.json,2e967da3-9309-46f4-814a-f394018bb6d3,1675987200000,
1106,0ee4fed6-3567-4276-8f14-00e88df20d1f.binning_data.json,654200,6000,7,2023-02-06 05:27:54.952,com.sec.android.app.shealth,2023-02-05 15:24:11.281,0ee4fed6-3567-4276-8f14-00e88df20d1f.source_info.json,1.2676694,829.3099,53.45002,1099,VfS0qUERdZ,com.sec.android.app.shealth,0,0ee4fed6-3567-4276-8f14-00e88df20d1f.achievement.json,0ee4fed6-3567-4276-8f14-00e88df20d1f,1675555200000,
916,35e10103-15c1-446d-bf4e-bbb2db9152b6.binning_data.json,558628,6000,0,2023-02-14 06:00:01.710,com.sec.android.app.shealth,2023-02-14 06:00:01.710,,1.2345582,689.66,45.329998,916,aZEautf6/t,com.sec.android.app.shealth,0,35e10103-15c1-446d-bf4e-bbb2db9152b6.achievement.json,35e10103-15c1-446d-bf4e-bbb2db9152b6,1676246400000,
3099,f4f28c33-7838-44c5-9cb4-4030c08413b2.binning_data.json,1781240,6000,39,2023-02-15 06:01:02.143,com.sec.android.app.shealth,2023-02-14 06:00:02.972,,1.3142712,2341.0337,159.08987,3060,iRIQdWw88T,com.sec.android.app.shealth,0,f4f28c33-7838-44c5-9cb4-4030c08413b2.achievement.json,f4f28c33-7838-44c5-9cb4-4030c08413b2,1676246400000,
1955,77f73043-f3ec-479b-b29f-6058ec32fecc.binning_data.json,1130414,6000,18,2023-02-14 06:00:02.984,com.sec.android.app.shealth,2023-02-13 06:00:03.364,,1.3038402,1473.8805,98.699814,1937,iRIQdWw88T,com.sec.android.app.shealth,0,77f73043-f3ec-479b-b29f-6058ec32fecc.achievement.json,77f73043-f3ec-479b-b29f-6058ec32fecc,1676160000000,
2041,c4503878-4c31-4d59-8623-dd0a8343af95.binning_data.json,1230229,6000,7,2023-02-07 07:30:33.658,com.sec.android.app.shealth,2023-02-06 11:05:42.902,c4503878-4c31-4d59-8623-dd0a8343af95.source_info.json,1.2348588,1519.1599,98.39003,2034,VfS0qUERdZ,com.sec.android.app.shealth,0,c4503878-4c31-4d59-8623-dd0a8343af95.achievement.json,c4503878-4c31-4d59-8623-dd0a8343af95,1675641600000,
1620,66b6d788-e804-40b5-96c1-0b07ad3e75bb.binning_data.json,965885,6000,4,2023-02-13 06:00:02.302,com.sec.android.app.shealth,2023-02-13 06:00:02.302,,1.2715584,1228.18,80.97,1616,aZEautf6/t,com.sec.android.app.shealth,0,66b6d788-e804-40b5-96c1-0b07ad3e75bb.achievement.json,66b6d788-e804-40b5-96c1-0b07ad3e75bb,1676160000000,
292,0106c533-2030-40e3-8a6d-ae0a97f314b7.binning_data.json,183352,6000,0,2023-02-16 06:04:36.088,com.sec.android.app.shealth,2023-02-16 06:04:36.088,,1.1858603,217.43,14.33,292,aZEautf6/t,com.sec.android.app.shealth,0,0106c533-2030-40e3-8a6d-ae0a97f314b7.achievement.json,0106c533-2030-40e3-8a6d-ae0a97f314b7,1676419200000,
2883,b20b0a9e-b296-47ed-bd47-b445efd98a54.binning_data.json,1738341,6000,23,2023-02-08 07:26:13.309,com.sec.android.app.shealth,2023-02-07 07:30:33.341,b20b0a9e-b296-47ed-bd47-b445efd98a54.source_info.json,1.2366327,2149.6902,118.96996,2860,VfS0qUERdZ,com.sec.android.app.shealth,0,b20b0a9e-b296-47ed-bd47-b445efd98a54.achievement.json,b20b0a9e-b296-47ed-bd47-b445efd98a54,1675728000000,
1104,d09e6b28-e5f3-46be-8dee-d7ccdc766740.binning_data.json,684368,6000,8,2023-02-16 06:04:37.806,com.sec.android.app.shealth,2023-02-15 06:01:02.138,,1.1903248,814.6207,55.009846,1096,iRIQdWw88T,com.sec.android.app.shealth,0,d09e6b28-e5f3-46be-8dee-d7ccdc766740.achievement.json,d09e6b28-e5f3-46be-8dee-d7ccdc766740,1676332800000,
722,214ce446-e65d-4d96-867d-2aaed361a75f.binning_data.json,437496,6000,5,2023-02-09 05:23:28.343,com.sec.android.app.shealth,2023-02-08 07:26:13.065,214ce446-e65d-4d96-867d-2aaed361a75f.source_info.json,1.2236456,535.34064,34.539955,717,VfS0qUERdZ,com.sec.android.app.shealth,0,214ce446-e65d-4d96-867d-2aaed361a75f.achievement.json,214ce446-e65d-4d96-867d-2aaed361a75f,1675814400000,
1050,6f9eb0bf-eaa9-47cb-932d-315a823aada7.binning_data.json,633512,6000,17,2023-02-17 06:00:02.985,com.sec.android.app.shealth,2023-02-16 06:04:37.800,,1.2403674,785.7883,52.379707,1033,iRIQdWw88T,com.sec.android.app.shealth,0,6f9eb0bf-eaa9-47cb-932d-315a823aada7.achievement.json,6f9eb0bf-eaa9-47cb-932d-315a823aada7,1676419200000,
630,fb2d770d-db42-4ae4-82c1-c3a82befb81e.binning_data.json,388618,6000,0,2023-02-18 06:00:13.609,com.sec.android.app.shealth,2023-02-17 06:00:02.975,,1.197188,465.24997,31.459946,630,iRIQdWw88T,com.sec.android.app.shealth,0,fb2d770d-db42-4ae4-82c1-c3a82befb81e.achievement.json,fb2d770d-db42-4ae4-82c1-c3a82befb81e,1676505600000,
