com.samsung.shealth.tracker.pedometer_step_count,6227003,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
16375,4,0,24,2023-01-24 00:01:00.000,,,2023-01-24 00:02:04.428,2023-01-24 00:02:04.428,24,1.0277778,16.83,0.85,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-24 00:02:00.000,5e5d34e2-e128-457c-ae7b-2f420c1ea7ee,
7252,4,0,10,2023-01-23 05:19:00.000,,,2023-01-23 05:34:59.255,2023-01-23 05:34:59.255,10,0.9444444,6.85,0.38,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 05:20:00.000,2096bf48-a08b-4ce3-8a17-c00b270a217a,
5351,4,0,10,2023-01-24 00:12:00.000,,,2023-01-24 00:14:21.725,2023-01-24 00:14:21.725,10,1.4444444,7.73,0.33,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-24 00:13:00.000,a1ece3c5-8da5-4456-bd8e-e2dbe62f38ab,
4812,4,0,12,2023-01-23 10:10:00.000,,,2023-01-23 10:15:00.000,2023-01-23 10:15:00.000,12,2.1111112,10.16,0.36,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 10:11:00.000,3f2b358b-4a33-4dbc-9cb0-58baa31da241,
29758,4,5,49,2023-01-24 00:20:00.000,,,2023-01-24 00:24:51.179,2023-01-24 00:20:18.080,54,1.3986008,41.62001,1.7299932,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-24 00:21:00.000,802a8150-e615-43cc-93c0-266e58064935,
60000,4,0,116,2023-01-23 10:23:00.000,,,2023-01-23 10:32:32.299,2023-01-23 10:32:32.299,116,1.5080001,90.48,3.48,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 10:24:00.000,7f596114-74f9-448d-826f-15cdf61df0f7,
4897,4,0,10,2023-01-23 10:56:00.000,,,2023-01-23 10:58:23.698,2023-01-23 10:58:23.698,10,1.6111112,7.89,0.32,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 10:57:00.000,50ce9a01-0e38-47f0-a576-b5cf49abaad2,
11872,4,0,22,2023-01-23 10:49:00.000,,,2023-01-23 10:58:23.451,2023-01-23 10:58:23.451,22,1.4166666,16.82,0.72,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 10:50:00.000,508cb2bb-58c2-463e-aa19-4dbd2d2b40b2,
22797,4,0,39,2023-01-23 10:42:00.000,,,2023-01-23 10:55:09.138,2023-01-23 10:55:09.138,39,1.2777778,29.13,1.27,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 10:43:00.000,726df90e-32b6-4d84-9864-db3dd415f20a,
16405,4,0,26,2023-01-23 11:00:00.000,,,2023-01-23 11:01:05.939,2023-01-23 11:01:05.939,26,1.1666666,19.14,0.84,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 11:01:00.000,d8e73adc-7098-4285-8f8b-56a18d35307f,
