FA:30:6C:FE:9A:40,name
datetime,value
2023-01-26 13:27:35.181000,0
2023-01-26 13:27:36.180000,0
2023-01-26 13:27:37.181000,0
2023-01-26 13:27:38.181000,0
2023-01-26 13:27:39.180000,0
2023-01-26 13:27:40.181000,0
2023-01-26 13:27:41.180000,0
2023-01-26 13:27:42.180000,0
2023-01-26 13:27:43.181000,0
2023-01-26 13:27:44.180000,0
2023-01-26 13:27:45.180000,0
2023-01-26 13:27:46.181000,0
2023-01-26 13:27:47.180000,0
2023-01-26 13:27:48.180000,0
2023-01-26 13:27:49.179000,0
2023-01-26 13:27:50.180000,0
2023-01-26 13:27:51.180000,0
2023-01-26 13:27:52.179000,0
2023-01-26 13:27:53.180000,0
2023-01-26 13:27:54.180000,0
2023-01-26 13:27:55.179000,0
2023-01-26 13:27:56.180000,0
2023-01-26 13:27:57.179000,0
2023-01-26 13:27:58.179000,0
2023-01-26 13:27:59.180000,0
2023-01-26 13:28:00.179000,0
2023-01-26 13:28:01.179000,0
2023-01-26 13:28:02.180000,0
2023-01-26 13:28:03.179000,0
2023-01-26 13:28:04.179000,0
2023-01-26 13:28:05.178000,0
2023-01-26 13:28:06.179000,0
2023-01-26 13:28:07.179000,0
2023-01-26 13:28:08.178000,0
2023-01-26 13:28:09.179000,0
2023-01-26 13:28:10.179000,0
2023-01-26 13:28:11.178000,0
2023-01-26 13:28:12.179000,0
2023-01-26 13:28:13.178000,0
2023-01-26 13:28:14.178000,0
2023-01-26 13:28:15.179000,0
2023-01-26 13:28:16.178000,0
2023-01-26 13:28:17.178000,0
2023-01-26 13:28:18.179000,0
2023-01-26 13:28:19.178000,0
2023-01-26 13:28:20.178000,0
2023-01-26 13:28:21.177000,0
2023-01-26 13:28:22.178000,0
2023-01-26 13:28:23.178000,0
2023-01-26 13:28:24.177000,0
2023-01-26 13:28:25.178000,0
2023-01-26 13:28:26.178000,0
2023-01-26 13:28:27.177000,0
2023-01-26 13:28:28.178000,2323
2023-01-26 13:28:29.177000,2323
2023-01-26 13:28:30.177000,0
2023-01-26 13:28:31.178000,0
2023-01-26 13:28:32.177000,0
2023-01-26 13:28:33.177000,0
2023-01-26 13:28:34.178000,0
2023-01-26 13:28:35.177000,0
2023-01-26 13:28:36.177000,0
2023-01-26 13:28:37.176000,0
2023-01-26 13:28:38.177000,0
2023-01-26 13:28:39.177000,0
2023-01-26 13:28:40.176000,0
2023-01-26 13:28:41.177000,0
2023-01-26 13:28:42.177000,0
2023-01-26 13:28:43.176000,0
2023-01-26 13:28:44.177000,2323
2023-01-26 13:28:45.176000,2323
2023-01-26 13:28:46.176000,2323
2023-01-26 13:28:47.177000,2323
2023-01-26 13:28:48.176000,2323
2023-01-26 13:28:49.176000,2323
2023-01-26 13:28:50.177000,2323
2023-01-26 13:28:51.176000,2323
2023-01-26 13:28:52.176000,2323
2023-01-26 13:28:53.175000,2323
2023-01-26 13:28:54.176000,2323
2023-01-26 13:28:55.176000,2323
2023-01-26 13:28:56.175000,0
2023-01-26 13:28:57.176000,0
2023-01-26 13:28:58.176000,0
2023-01-26 13:28:59.175000,0
2023-01-26 13:29:00.176000,0
2023-01-26 13:29:01.175000,0
2023-01-26 13:29:02.175000,0
2023-01-26 13:29:03.176000,0
2023-01-26 13:29:04.175000,0
2023-01-26 13:29:05.175000,0
2023-01-26 13:29:06.176000,0
2023-01-26 13:29:07.175000,0
2023-01-26 13:29:08.175000,0
2023-01-26 13:29:09.174000,0
2023-01-26 13:29:10.175000,0
2023-01-26 13:29:11.175000,0
2023-01-26 13:29:12.174000,0
2023-01-26 13:29:13.175000,0
2023-01-26 13:29:14.174000,0
2023-01-26 13:29:15.174000,0
2023-01-26 13:29:16.175000,2323
2023-01-26 13:29:17.174000,0
2023-01-26 13:29:18.174000,829
2023-01-26 13:29:19.175000,1066
2023-01-26 13:29:20.174000,0
2023-01-26 13:29:21.174000,0
2023-01-26 13:29:22.175000,948
2023-01-26 13:29:23.174000,2323
2023-01-26 13:29:24.174000,0
2023-01-26 13:29:25.173000,2323
2023-01-26 13:29:26.174000,0
2023-01-26 13:29:27.174000,1066
2023-01-26 13:29:28.173000,1066
2023-01-26 13:29:29.174000,1066
2023-01-26 13:29:30.174000,1066
2023-01-26 13:29:31.173000,948
2023-01-26 13:29:32.174000,7340
2023-01-26 13:29:33.173000,1896
2023-01-26 13:29:34.173000,1896
2023-01-26 13:29:35.174000,1777
2023-01-26 13:29:36.173000,3061
2023-01-26 13:29:37.173000,3081
2023-01-26 13:29:38.174000,2488
2023-01-26 13:29:39.173000,0
2023-01-26 13:29:40.173000,948
2023-01-26 13:29:41.172000,948
2023-01-26 13:29:42.173000,1066
2023-01-26 13:29:43.173000,1896
2023-01-26 13:29:44.172000,1896
2023-01-26 13:29:45.173000,0
2023-01-26 13:29:46.172000,0
2023-01-26 13:29:47.172000,0
2023-01-26 13:29:48.173000,0
2023-01-26 13:29:49.172000,0
2023-01-26 13:29:50.172000,0
2023-01-26 13:29:51.173000,0
2023-01-26 13:29:52.172000,0
2023-01-26 13:29:53.172000,0
2023-01-26 13:29:54.173000,0
2023-01-26 13:29:55.172000,0
2023-01-26 13:29:56.172000,0
2023-01-26 13:29:57.171000,0
2023-01-26 13:29:58.172000,0
2023-01-26 13:29:59.172000,1896
2023-01-26 13:30:00.171000,3061
2023-01-26 13:30:01.172000,1896
2023-01-26 13:30:02.172000,0
2023-01-26 13:30:03.171000,1777
2023-01-26 13:30:04.172000,1777
2023-01-26 13:30:05.171000,1777
2023-01-26 13:30:06.171000,0
2023-01-26 13:30:07.172000,0
2023-01-26 13:30:08.171000,0
2023-01-26 13:30:09.171000,0
2023-01-26 13:30:10.170000,0
2023-01-26 13:30:11.171000,0
2023-01-26 13:30:12.171000,0
2023-01-26 13:30:13.170000,0
2023-01-26 13:30:14.171000,1777
2023-01-26 13:30:15.171000,0
2023-01-26 13:30:16.170000,0
2023-01-26 13:30:17.171000,0
2023-01-26 13:30:18.171000,1777
2023-01-26 13:30:19.170000,1777
2023-01-26 13:30:20.171000,1777
2023-01-26 13:30:21.170000,1777
2023-01-26 13:30:22.170000,1777
2023-01-26 13:30:23.171000,1777
2023-01-26 13:30:24.170000,0
2023-01-26 13:30:25.170000,0
2023-01-26 13:30:26.171000,1777
2023-01-26 13:30:27.170000,1777
2023-01-26 13:30:28.170000,1777
2023-01-26 13:30:29.169000,1777
2023-01-26 13:30:30.170000,1777
2023-01-26 13:30:31.170000,1777
2023-01-26 13:30:32.169000,0
2023-01-26 13:30:33.170000,1896
2023-01-26 13:30:34.170000,0
2023-01-26 13:30:35.169000,0
2023-01-26 13:30:36.170000,0
2023-01-26 13:30:37.169000,0
2023-01-26 13:30:38.169000,0
2023-01-26 13:30:39.170000,0
2023-01-26 13:30:40.169000,9663
